like_count,text,video_id,public,tokens,word_count,sentiment
0,Na  minha  vida  você  é  minha  amiga   eu  adoro  você,c3Ns-AgD-Vg,True,"['vida', 'amiga', 'adoro']",3,0.0
0,Camilla,c3Ns-AgD-Vg,True,['camisa'],1,0.0
0,Eu  gosto  muito  de  você,c3Ns-AgD-Vg,True,['gosto'],1,0.0
0,Eu  entendi  sua  a titute,c3Ns-AgD-Vg,True,"['entendi', 'tique']",2,0.0
0,Camilla,c3Ns-AgD-Vg,True,['camisa'],1,0.0
0,Dinheiro  não  cai  do  seu,c3Ns-AgD-Vg,True,"['dinheiro', 'cai']",2,0.0
0,Claro  que  você  toda  água  quem gastar  tudo  vai  gastar  tudo,c3Ns-AgD-Vg,True,"['claro', 'toda', 'rua', 'gastar', 'tudo', 'vai', 'gastar', 'tudo']",8,0.0
0,Fiu  camila  você  é  minha  amiga  minha  parceira,c3Ns-AgD-Vg,True,"['camisa', 'amiga', 'parceira']",3,0.0
0,Fico  bravinha vai  passar,c3Ns-AgD-Vg,True,"['fico', 'bravinha', 'vai', 'passar']",4,0.0
0,Não  fica  chateada,c3Ns-AgD-Vg,True,"['fica', 'chapeada']",2,0.0
0,Você  ta  brava  Camilla,c3Ns-AgD-Vg,True,"['ta', 'brava', 'camisa']",3,0.0
0,Camilla,c3Ns-AgD-Vg,True,['camisa'],1,0.0
0,Você  ta  falando  Você  ta  com  falta  de ar  vai  fazer  nebulização,c3Ns-AgD-Vg,True,"['ta', 'falando', 'ta', 'falta', 'ar', 'vai', 'fazer', 'nebulizao']",8,0.0
0,Você  tem  que  ser  pessoa  educada,c3Ns-AgD-Vg,True,"['pessoa', 'educada']",2,0.0
0,Ne Camilla,c3Ns-AgD-Vg,True,"['ne', 'camisa']",2,0.0
0,Você  é  difícil  Você  não  entende,c3Ns-AgD-Vg,True,"['difícil', 'entende']",2,0.0
0,Tô  com  falta  de ar,c3Ns-AgD-Vg,True,"['t', 'falta', 'ar']",3,0.0
0,Ne Camilla,c3Ns-AgD-Vg,True,"['ne', 'camisa']",2,0.0
0,Você  é  egoísta  e   é  engraçada,c3Ns-AgD-Vg,True,"['egoísta', 'engraçada']",2,0.0
